INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT(m),SPEED(km/h),HDOP,DISTANCE(m),
46088,T,2016/03/26,15:28:03.000,SPS,44.181913,N,9.583883,E,43.7,0.033,1.10,827533.05,
46089,T,2016/03/26,15:28:23.000,SPS,44.181896,N,9.583871,E,49.1,0.006,1.10,5.72,
46090,T,2016/03/26,15:28:43.000,SPS,44.181906,N,9.583868,E,49.4,0.075,1.01,1.09,
46091,T,2016/03/26,15:29:03.000,SPS,44.181906,N,9.583867,E,49.4,0.055,1.06,0.12,
46092,T,2016/03/26,15:29:23.000,SPS,44.181861,N,9.583871,E,49.4,3.627,1.01,5.05,
46093,T,2016/03/26,15:29:43.000,SPS,44.181790,N,9.583862,E,47.8,0.020,1.01,8.06,
46094,T,2016/03/26,15:30:03.000,SPS,44.181813,N,9.583828,E,46.8,2.719,1.06,3.82,
46095,T,2016/03/26,15:30:23.000,SPS,44.181957,N,9.583784,E,45.0,4.183,1.01,16.45,
46096,T,2016/03/26,15:30:43.000,SPS,44.182105,N,9.583676,E,44.3,3.867,1.01,18.57,
46097,T,2016/03/26,15:31:03.000,SPS,44.182099,N,9.583640,E,44.4,5.160,1.01,3.01,
46098,T,2016/03/26,15:31:23.000,SPS,44.182103,N,9.583444,E,42.8,3.801,1.01,15.71,
46099,T,2016/03/26,15:31:43.000,SPS,44.182078,N,9.583338,E,43.1,0.284,1.01,8.90,
46100,T,2016/03/26,15:32:03.000,SPS,44.182092,N,9.583333,E,43.5,0.281,1.06,1.67,
46101,T,2016/03/26,15:32:23.000,SPS,44.182045,N,9.583264,E,43.5,0.116,1.06,7.59,
46102,T,2016/03/26,15:32:43.000,SPS,44.182042,N,9.583264,E,43.5,0.052,0.92,0.38,
46103,T,2016/03/26,15:33:03.000,SPS,44.182019,N,9.583230,E,43.7,0.049,1.10,3.75,
46104,T,2016/03/26,15:33:23.000,SPS,44.181996,N,9.583214,E,43.0,0.219,1.54,2.94,
46105,T,2016/03/26,15:33:43.000,SPS,44.181990,N,9.583213,E,42.9,0.788,1.00,0.69,
46106,T,2016/03/26,15:34:03.000,SPS,44.181989,N,9.583208,E,42.8,0.039,1.06,0.36,
46107,T,2016/03/26,15:34:23.000,SPS,44.181989,N,9.583209,E,42.9,1.770,1.00,0.08,
46108,T,2016/03/26,15:34:43.000,DGPS,44.181987,N,9.583210,E,42.2,0.052,1.09,0.74,
46109,T,2016/03/26,15:35:03.000,DGPS,44.181999,N,9.583210,E,42.0,0.041,2.08,1.37,
46110,T,2016/03/26,15:35:23.000,DGPS,44.181996,N,9.583226,E,40.5,0.017,1.18,2.01,
46111,T,2016/03/26,15:35:43.000,DGPS,44.181997,N,9.583226,E,40.5,0.057,2.09,0.09,
46112,T,2016/03/26,15:36:03.000,DGPS,44.181997,N,9.583227,E,40.4,0.036,2.09,0.08,
46113,T,2016/03/26,15:36:23.000,DGPS,44.181999,N,9.583231,E,40.4,0.191,0.92,0.34,
46114,T,2016/03/26,15:36:43.000,DGPS,44.182002,N,9.583236,E,40.5,0.027,0.93,0.51,
46115,T,2016/03/26,15:37:03.000,DGPS,44.182022,N,9.583353,E,41.6,1.849,0.89,9.75,
46116,T,2016/03/26,15:37:23.000,DGPS,44.182056,N,9.583523,E,43.7,1.956,1.11,14.25,
46117,T,2016/03/26,15:37:43.000,DGPS,44.182115,N,9.583630,E,46.2,3.532,1.53,11.05,
46118,T,2016/03/26,15:38:03.000,DGPS,44.182046,N,9.583750,E,47.4,3.049,1.00,12.30,
46119,T,2016/03/26,15:38:23.000,DGPS,44.181921,N,9.583864,E,44.9,2.984,1.53,16.86,
46120,T,2016/03/26,15:38:43.000,DGPS,44.181836,N,9.583864,E,50.3,1.371,1.00,10.83,
46121,T,2016/03/26,15:39:03.000,DGPS,44.181793,N,9.583926,E,53.8,0.894,1.00,7.75,
46122,T,2016/03/26,15:39:23.000,DGPS,44.181726,N,9.584029,E,56.1,3.721,1.00,11.28,
46123,T,2016/03/26,15:39:43.000,DGPS,44.181579,N,9.584091,E,58.1,1.146,1.00,17.20,
46124,T,2016/03/26,15:40:03.000,DGPS,44.181476,N,9.584144,E,58.0,3.738,1.00,12.15,
46125,T,2016/03/26,15:40:23.000,DGPS,44.181213,N,9.584341,E,54.3,2.108,1.53,33.46,
46126,T,2016/03/26,15:40:43.000,DGPS,44.181075,N,9.584394,E,51.7,4.542,1.53,16.05,
46127,T,2016/03/26,15:41:03.000,DGPS,44.180877,N,9.584484,E,50.9,4.027,1.05,23.20,
46128,T,2016/03/26,15:41:23.000,DGPS,44.180706,N,9.584580,E,55.2,3.072,1.52,20.93,
46129,T,2016/03/26,15:41:43.000,DGPS,44.180521,N,9.584645,E,55.9,3.448,1.52,21.26,
46130,T,2016/03/26,15:42:03.000,DGPS,44.180340,N,9.584745,E,56.7,4.060,1.52,21.62,
46131,T,2016/03/26,15:42:23.000,DGPS,44.180154,N,9.584846,E,57.9,3.338,1.52,22.20,
46132,T,2016/03/26,15:42:43.000,DGPS,44.180019,N,9.584939,E,55.6,1.374,1.12,16.94,
46133,T,2016/03/26,15:43:03.000,DGPS,44.180063,N,9.584996,E,53.5,0.198,1.09,6.97,
46134,T,2016/03/26,15:43:23.000,DGPS,44.180052,N,9.584978,E,53.6,0.260,1.09,1.79,
46135,T,2016/03/26,15:43:43.000,DGPS,44.180052,N,9.584979,E,53.5,0.022,1.04,0.13,
46136,T,2016/03/26,15:44:03.000,DGPS,44.180052,N,9.584979,E,53.5,0.048,1.04,0.02,
46137,T,2016/03/26,15:44:23.000,DGPS,44.180052,N,9.584979,E,53.5,0.040,1.12,0.05,
46138,T,2016/03/26,15:44:43.000,DGPS,44.180053,N,9.584978,E,53.5,0.051,1.12,0.08,
46139,T,2016/03/26,15:45:03.000,DGPS,44.180053,N,9.584978,E,53.5,0.106,1.09,0.01,
46140,T,2016/03/26,15:45:23.000,DGPS,44.180053,N,9.584978,E,53.5,0.144,1.12,0.06,
46141,T,2016/03/26,15:45:43.000,DGPS,44.180054,N,9.584977,E,53.5,0.057,1.12,0.08,
46142,T,2016/03/26,15:46:03.000,DGPS,44.180054,N,9.584977,E,53.5,0.030,1.12,0.01,
46143,T,2016/03/26,15:46:23.000,DGPS,44.180054,N,9.584977,E,53.4,0.073,1.12,0.03,
46144,T,2016/03/26,15:46:43.000,DGPS,44.180054,N,9.584978,E,53.4,0.064,1.11,0.04,
46145,T,2016/03/26,15:47:03.000,DGPS,44.180054,N,9.584977,E,53.4,0.071,2.51,0.05,
46146,T,2016/03/26,15:47:23.000,DGPS,44.180054,N,9.584977,E,53.4,0.089,1.11,0.02,
46147,T,2016/03/26,15:47:43.000,DGPS,44.180053,N,9.584978,E,53.3,0.067,1.11,0.14,
46148,T,2016/03/26,15:48:03.000,DGPS,44.180053,N,9.584977,E,53.2,0.074,1.11,0.18,
46149,T,2016/03/26,15:48:23.000,DGPS,44.180052,N,9.584977,E,53.1,0.084,1.11,0.11,
46150,T,2016/03/26,15:48:43.000,DGPS,44.180051,N,9.584976,E,53.0,0.150,1.11,0.20,
46151,T,2016/03/26,15:49:03.000,DGPS,44.180049,N,9.584976,E,53.0,0.093,1.11,0.20,
46152,T,2016/03/26,15:49:23.000,DGPS,44.180047,N,9.584975,E,52.8,0.044,1.11,0.22,
46153,T,2016/03/26,15:49:43.000,DGPS,44.180046,N,9.584973,E,52.8,0.055,1.09,0.20,
46154,T,2016/03/26,15:50:03.000,DGPS,44.180043,N,9.584972,E,52.8,0.144,1.11,0.36,
46155,T,2016/03/26,15:50:23.000,DGPS,44.180041,N,9.584971,E,52.8,0.102,1.11,0.31,
